[2025-06-17T14:22:03.269+0900] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-06-17T14:22:03.362+0900] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: image_ocr_v2.copy_results_folder_task manual__2025-06-17T05:20:49.590720+00:00 [queued]>
[2025-06-17T14:22:03.403+0900] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: image_ocr_v2.copy_results_folder_task manual__2025-06-17T05:20:49.590720+00:00 [queued]>
[2025-06-17T14:22:03.405+0900] {taskinstance.py:2867} INFO - Starting attempt 1 of 1
[2025-06-17T14:22:03.461+0900] {taskinstance.py:2890} INFO - Executing <Task(_PythonDecoratedOperator): copy_results_folder_task> on 2025-06-17 05:20:49.590720+00:00
[2025-06-17T14:22:03.486+0900] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=5369) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2025-06-17T14:22:03.492+0900] {standard_task_runner.py:72} INFO - Started process 5378 to run task
[2025-06-17T14:22:03.495+0900] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'image_ocr_v2', 'copy_results_folder_task', 'manual__2025-06-17T05:20:49.590720+00:00', '--job-id', '887', '--raw', '--subdir', 'DAGS_FOLDER/test_dag.py', '--cfg-path', '/tmp/tmpn0px2alr']
[2025-06-17T14:22:03.505+0900] {standard_task_runner.py:105} INFO - Job 887: Subtask copy_results_folder_task
[2025-06-17T14:22:03.682+0900] {task_command.py:467} INFO - Running <TaskInstance: image_ocr_v2.copy_results_folder_task manual__2025-06-17T05:20:49.590720+00:00 [running]> on host f6d4228a9eb8
[2025-06-17T14:22:04.072+0900] {taskinstance.py:3134} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='image_ocr_v2' AIRFLOW_CTX_TASK_ID='copy_results_folder_task' AIRFLOW_CTX_EXECUTION_DATE='2025-06-17T05:20:49.590720+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-06-17T05:20:49.590720+00:00'
[2025-06-17T14:22:04.077+0900] {taskinstance.py:732} INFO - ::endgroup::
[2025-06-17T14:22:04.095+0900] {logging_mixin.py:190} INFO - 1
[2025-06-17T14:22:04.192+0900] {logging_mixin.py:190} INFO - 828
[2025-06-17T14:22:04.199+0900] {logging_mixin.py:190} INFO - 복사 완료: /opt/***/data/temp/288256ae-fc13-49a6-9964-b89750789044/37b823dc-eaba-4dbc-a910-d0d1b5b4bfa3/rotate5_1_-5.0.png → /opt/***/data/result/manual__2025-06-17T05:20:49.590720+00:00/_37b823dc-eaba-4dbc-a910-d0d1b5b4bfa3_pre_rotate5_1_-5.0.png
[2025-06-17T14:22:04.205+0900] {logging_mixin.py:190} INFO - 복사 완료: /opt/***/data/temp/288256ae-fc13-49a6-9964-b89750789044/37b823dc-eaba-4dbc-a910-d0d1b5b4bfa3/horizon_eroded_1_-5.0.png → /opt/***/data/result/manual__2025-06-17T05:20:49.590720+00:00/_37b823dc-eaba-4dbc-a910-d0d1b5b4bfa3_pre_horizon_eroded_1_-5.0.png
[2025-06-17T14:22:04.216+0900] {logging_mixin.py:190} INFO - 복사 완료: /opt/***/data/temp/288256ae-fc13-49a6-9964-b89750789044/37b823dc-eaba-4dbc-a910-d0d1b5b4bfa3/vertical_eroded_1_-5.0.png → /opt/***/data/result/manual__2025-06-17T05:20:49.590720+00:00/_37b823dc-eaba-4dbc-a910-d0d1b5b4bfa3_pre_vertical_eroded_1_-5.0.png
[2025-06-17T14:22:04.230+0900] {logging_mixin.py:190} INFO - 복사 완료: /opt/***/data/temp/288256ae-fc13-49a6-9964-b89750789044/37b823dc-eaba-4dbc-a910-d0d1b5b4bfa3/horizon_eroded2_1_-5.0.png → /opt/***/data/result/manual__2025-06-17T05:20:49.590720+00:00/_37b823dc-eaba-4dbc-a910-d0d1b5b4bfa3_pre_horizon_eroded2_1_-5.0.png
[2025-06-17T14:22:04.235+0900] {logging_mixin.py:190} INFO - 복사 완료: /opt/***/data/temp/288256ae-fc13-49a6-9964-b89750789044/37b823dc-eaba-4dbc-a910-d0d1b5b4bfa3/vertical_eroded2_1_-5.0.png → /opt/***/data/result/manual__2025-06-17T05:20:49.590720+00:00/_37b823dc-eaba-4dbc-a910-d0d1b5b4bfa3_pre_vertical_eroded2_1_-5.0.png
[2025-06-17T14:22:04.244+0900] {logging_mixin.py:190} INFO - 복사 완료: /opt/***/data/temp/288256ae-fc13-49a6-9964-b89750789044/37b823dc-eaba-4dbc-a910-d0d1b5b4bfa3/rotate5_1_-4.75.png → /opt/***/data/result/manual__2025-06-17T05:20:49.590720+00:00/_37b823dc-eaba-4dbc-a910-d0d1b5b4bfa3_pre_rotate5_1_-4.75.png
[2025-06-17T14:22:04.252+0900] {logging_mixin.py:190} INFO - 복사 완료: /opt/***/data/temp/288256ae-fc13-49a6-9964-b89750789044/37b823dc-eaba-4dbc-a910-d0d1b5b4bfa3/horizon_eroded_1_-4.75.png → /opt/***/data/result/manual__2025-06-17T05:20:49.590720+00:00/_37b823dc-eaba-4dbc-a910-d0d1b5b4bfa3_pre_horizon_eroded_1_-4.75.png
